param fd :=
    en1  cn1   132.625
    en1  cn12   164.747
    en1  cn2   112.235
    en2  cn1   133.941
    en2  cn12   123.805
    en2  cn2   93.792
    en3  cn2   148.370
    en3  cn1   85.825
    en3  cn3   93.907
    en4  cn2   141.130
    en4  cn1   105.640
    en4  cn3   95.234
    en5  cn3   79.351
    en5  cn2   122.456
    en5  cn4   106.758
    en6  cn3   53.121
    en6  cn2   91.883
    en6  cn4   105.207
    en7  cn4   108.056
    en7  cn3   129.112
    en7  cn5   149.587
    en8  cn4   133.778
    en8  cn3   116.677
    en8  cn5   87.110
    en9  cn5   143.027
    en9  cn4   93.892
    en9  cn6   145.236
    en10  cn5   76.594
    en10  cn4   120.408
    en10  cn6   121.417
    en11  cn6   107.131
    en11  cn5   187.005
    en11  cn7   96.085
    en12  cn6   138.693
    en12  cn5   107.178
    en12  cn7   112.810
    en13  cn7   115.217
    en13  cn6   130.245
    en13  cn8   108.726
    en14  cn7   149.548
    en14  cn6   128.360
    en14  cn8   94.206
    en15  cn8   56.471
    en15  cn7   89.382
    en15  cn9   101.266
    en16  cn8   114.887
    en16  cn7   138.404
    en16  cn9   66.130
    en17  cn9   104.358
    en17  cn8   157.077
    en17  cn10   143.984
    en18  cn9   87.175
    en18  cn8   117.851
    en18  cn10   112.181
    en19  cn10   140.253
    en19  cn9   142.137
    en19  cn11   106.876
    en20  cn10   128.267
    en20  cn9   171.402
    en20  cn11   141.924
    en21  cn11   124.061
    en21  cn10   127.208
    en21  cn12   96.214
    en22  cn11   122.712
    en22  cn10   133.706
    en22  cn12   91.633
    en23  cn12   110.869
    en23  cn11   145.936
    en23  cn1   123.394
    en24  cn12   111.586
    en24  cn11   80.515
    en24  cn1   152.704
    cn1  bn1   0.000
    cn1  bn6   0.000
    cn1  bn2   0.000
    cn2  bn1   0.000
    cn2  bn6   0.000
    cn2  bn2   0.000
    cn3  bn2   0.000
    cn3  bn1   0.000
    cn3  bn3   0.000
    cn4  bn2   0.000
    cn4  bn1   0.000
    cn4  bn3   0.000
    cn5  bn3   0.000
    cn5  bn2   0.000
    cn5  bn4   0.000
    cn6  bn3   0.000
    cn6  bn2   0.000
    cn6  bn4   0.000
    cn7  bn4   0.000
    cn7  bn3   0.000
    cn7  bn5   0.000
    cn8  bn4   0.000
    cn8  bn3   0.000
    cn8  bn5   0.000
    cn9  bn5   0.000
    cn9  bn4   0.000
    cn9  bn6   0.000
    cn10  bn5   0.000
    cn10  bn4   0.000
    cn10  bn6   0.000
    cn11  bn6   0.000
    cn11  bn5   0.000
    cn11  bn1   0.000
    cn12  bn6   0.000
    cn12  bn5   0.000
    cn12  bn1   0.000
    en1  en1   0.000
    en2  en2   0.000
    en3  en3   0.000
    en4  en4   0.000
    en5  en5   0.000
    en6  en6   0.000
    en7  en7   0.000
    en8  en8   0.000
    en9  en9   0.000
    en10  en10   0.000
    en11  en11   0.000
    en12  en12   0.000
    en13  en13   0.000
    en14  en14   0.000
    en15  en15   0.000
    en16  en16   0.000
    en17  en17   0.000
    en18  en18   0.000
    en19  en19   0.000
    en20  en20   0.000
    en21  en21   0.000
    en22  en22   0.000
    en23  en23   0.000
    en24  en24   0.000
    cn1  cn1   0.000
    cn2  cn2   0.000
    cn3  cn3   0.000
    cn4  cn4   0.000
    cn5  cn5   0.000
    cn6  cn6   0.000
    cn7  cn7   0.000
    cn8  cn8   0.000
    cn9  cn9   0.000
    cn10  cn10   0.000
    cn11  cn11   0.000
    cn12  cn12   0.000
    bn1  bn1   0.000
    bn2  bn2   0.000
    bn3  bn3   0.000
    bn4  bn4   0.000
    bn5  bn5   0.000
    bn6  bn6   0.000;
