param bd :=
    en1  cn1   0.000
    en1  cn12   0.000
    en1  cn2   0.000
    en2  cn1   0.000
    en2  cn12   0.000
    en2  cn2   0.000
    en3  cn2   0.000
    en3  cn1   0.000
    en3  cn3   0.000
    en4  cn2   0.000
    en4  cn1   0.000
    en4  cn3   0.000
    en5  cn3   0.000
    en5  cn2   0.000
    en5  cn4   0.000
    en6  cn3   0.000
    en6  cn2   0.000
    en6  cn4   0.000
    en7  cn4   0.000
    en7  cn3   0.000
    en7  cn5   0.000
    en8  cn4   0.000
    en8  cn3   0.000
    en8  cn5   0.000
    en9  cn5   0.000
    en9  cn4   0.000
    en9  cn6   0.000
    en10  cn5   0.000
    en10  cn4   0.000
    en10  cn6   0.000
    en11  cn6   0.000
    en11  cn5   0.000
    en11  cn7   0.000
    en12  cn6   0.000
    en12  cn5   0.000
    en12  cn7   0.000
    en13  cn7   0.000
    en13  cn6   0.000
    en13  cn8   0.000
    en14  cn7   0.000
    en14  cn6   0.000
    en14  cn8   0.000
    en15  cn8   0.000
    en15  cn7   0.000
    en15  cn9   0.000
    en16  cn8   0.000
    en16  cn7   0.000
    en16  cn9   0.000
    en17  cn9   0.000
    en17  cn8   0.000
    en17  cn10   0.000
    en18  cn9   0.000
    en18  cn8   0.000
    en18  cn10   0.000
    en19  cn10   0.000
    en19  cn9   0.000
    en19  cn11   0.000
    en20  cn10   0.000
    en20  cn9   0.000
    en20  cn11   0.000
    en21  cn11   0.000
    en21  cn10   0.000
    en21  cn12   0.000
    en22  cn11   0.000
    en22  cn10   0.000
    en22  cn12   0.000
    en23  cn12   0.000
    en23  cn11   0.000
    en23  cn1   0.000
    en24  cn12   0.000
    en24  cn11   0.000
    en24  cn1   0.000
    en1  en1   0.000
    en2  en2   0.000
    en3  en3   0.000
    en4  en4   0.000
    en5  en5   0.000
    en6  en6   0.000
    en7  en7   0.000
    en8  en8   0.000
    en9  en9   0.000
    en10  en10   0.000
    en11  en11   0.000
    en12  en12   0.000
    en13  en13   0.000
    en14  en14   0.000
    en15  en15   0.000
    en16  en16   0.000
    en17  en17   0.000
    en18  en18   0.000
    en19  en19   0.000
    en20  en20   0.000
    en21  en21   0.000
    en22  en22   0.000
    en23  en23   0.000
    en24  en24   0.000
    cn1  cn1   0.000
    cn2  cn2   0.000
    cn3  cn3   0.000
    cn4  cn4   0.000
    cn5  cn5   0.000
    cn6  cn6   0.000
    cn7  cn7   0.000
    cn8  cn8   0.000
    cn9  cn9   0.000
    cn10  cn10   0.000
    cn11  cn11   0.000
    cn12  cn12   0.000
    bn1  bn1   0.000
    bn2  bn2   0.000
    bn3  bn3   0.000
    bn4  bn4   0.000
    bn5  bn5   0.000
    bn6  bn6   0.000
    cn1  bn1   36445.583
    cn1  bn6   47374.747
    cn1  bn2   27870.147
    cn2  bn1   19841.343
    cn2  bn6   17016.057
    cn2  bn2   30121.766
    cn3  bn2   41372.286
    cn3  bn1   18454.713
    cn3  bn3   24001.602
    cn4  bn2   15798.112
    cn4  bn1   22642.346
    cn4  bn3   28913.977
    cn5  bn3   20724.065
    cn5  bn2   49103.645
    cn5  bn4   23523.490
    cn6  bn3   21834.280
    cn6  bn2   60498.328
    cn6  bn4   34987.419
    cn7  bn4   20849.665
    cn7  bn3   29951.244
    cn7  bn5   37668.528
    cn8  bn4   26832.344
    cn8  bn3   29031.646
    cn8  bn5   30449.125
    cn9  bn5   37581.141
    cn9  bn4   22009.428
    cn9  bn6   18856.694
    cn10  bn5   29923.676
    cn10  bn4   23229.976
    cn10  bn6   21460.001
    cn11  bn6   19880.093
    cn11  bn5   30416.424
    cn11  bn1   33853.374
    cn12  bn6   16019.236
    cn12  bn5   21902.750
    cn12  bn1   20666.041;
